Texto,Label Sobre Prduto,Label Sobre Loja,Polaridade do review,,
Pq foi instalado e deu problema da uma msg e EC no ar depois de algum tempo de uso.,Product,,Bad,,
"Produto de excelente qualidade, entrega e atendimento super rápido!",Product,Store,Good,,
Era exatamente o que esperava,Product,,Good,,
um dos produtos nao esta funcionando o que coloca a pasta de dente não sai a pasta,Product,,Bad,,
COMPREI UM XENON DE 4300K VEIO UM DE 8000K SE EU QUISESSE O DE 8000 NAO TINHA COMPRADO O 4300. E AGORA.? SO PREJUISO PRA MIM NE PEDI O 4300 POR CAUSA DA POLICIA PRA NAO CHAMAR TANTA ATENÇAO AI ME VEM UM DE 8000 AGORA QUE Q EU FAÇO..,,Store,Bad,,
Muito bom o produto e o atendimento da loja é excelente.,Product,Store,Good,,
Gostei do produto. Cumpre o prometido,Product,,Good,,
"Ótima, eu Gostei. Bom produto. Indico.  
",Product,,Good,,
Tudo foi bem ok. Obrigado,Product,,Good,,
Bom,Product,,Neutral,,
lindo e otimo,Product,,Good,,
Produto de ótima qualidade,Product,,Good,,
Gostei do produto.,Product,,Good,,
Deliciaaaa,Product,,Good,,
Excelente produto!,Product,,Good,,
"o filtro é ótimo, só lamento não ter refil, acho um desperdício esta embalagem.",Product,,Good,,
Eu não tenho como avalia o produto. Até agora não recebe o produto. E meu dinheiro fica como,,Store,Bad,,
x,Product,,Neutral,,
Devido a minha pele ser muito sensível é difícil encontrar um produto que se adapte... E a Clinique é perfeita... Uso outros produtos da linha e adoro! ,Product,,Good,,
Informação da usuária minha esposa,Product,,Neutral,,
"Mochila bem resistente, de tamanho bom e confortável de usar. ",Product,,Good,,Experience
" 1 péssimo, não utilizei até hoje, ja mandei fotos para devolução e não obtive retorno coerente, aguardo um retorno..

Enviado do meu iPhone",Product,Store,Bad,,
"Produto excelente e, a entrega, perfeita. Loja 100% confiavel. Mandavam diariamente o rastreamento psta que eu acompanhasse e foi tudo perfeito.",Product,Store,Good,,Experience
"Muito bom, entrega super rapida e produto de qualidade!",Product,Store,Good,,
Produto original e prazo entrega exelente ,Product,Store,Good,,
Gostei bastante da cor e da qualidade do produto. ,Product,,Good,,
"Essa prancha é muito boa,alisa o cabelo rapidinho e não precisa ficar passando varias vezes.Aprovadíssima.",Product,,Good,,Experience
Sem comentários..divino,Product,,Good,,
Não tem fixação boa! Mas o cheirinho é ótimo!!,Product,,Bad,,
bom para os fins desejados,Product,,Good,,
"Eu ja conhecia, é um perfume a princípio que parece forte, mas em poucos minutos se transforma numa deliciosa fragrância.Na minha opinião é ótimo para usar durante o dia e em dias quentes.Excelente aderência. ",Product,,Good,,
eu achei o produto bom,Product,,Good,,
Recebi corretamente mto bom!,Product,Store,Good,,
"Após 22 dias esperando pelo produto, fiquei decepcionada quando vi o estado em que o recebi: manchado. Não achei possível que, ao embalar, não tivessem notado, pois as manchas estavam nítidas. ",Product,Store,Bad,,
produto conforme imagem,Product,,Good,,
"Perfeito para finalização. Deixa o cabelo hidratado e leve, sem muito frizz. Também é ótimo para CoWash.",Product,,Good,,
Super confortável e peço maravilhoso,Product,Store,Good,,
"Bom produto. Apanhei um pouco pra montar as alças internas, mas depois ficou muito bom! O óculos dá pra deixar ""guardado"" dentro do óculos, não atrapalha.",Product,,Good,,
Boa fixação a pele do paciente,Product,,Good,,
Com certeza!,Product,,Neutral,,
Muito bom! Facil instalação !,Product,,Good,,
"Não diminuiu a oleosidade da minha pele, mas ainda estou nas primeiras semanas. Um ponto bem positivo é ser bem seco e não ficar ""grudento"" no rosto.",Product,,Good,,
OK,Product,,Good,,
"A saia é muito bem feita e a cor é linda! Eu tenho 1.65 de altura, ficou um pouco mais comprida que na modelo, precisei fazer a barra. Mas tirando isso, ficou perfeita.",Product,,Bad,,
 cor linda de qualidade o produto.,Product,,Good,,
Pq superaram minhas expectativas.,Product,,Good,,
"Fofo, confortável! Ótimo para o dia a dia. O meu é branco e é um pouquinho transparente, mas com a roupa n dá para ver.",Product,,Good,,
"Excelente, lindo, visual gti, meu ap 1.6 ficou gato pra crlh",Product,,Offensive,,
Otimo produto,Product,,Good,,
gostei,Product,,Good,,
Amo essa loção !!!!!,Product,,Good,,
"A geladeira é do tamanho correto para o espaço destinado, funciona bem, bonita e de acordo com minhas expectativas.",Product,,Good,,
otimo produto preço muito bommmmmmm,Product,,Good,,
"maravilhoso, dá um brilho nos cabelos. Eu recomendo.",Product,,Good,,
Batera excelente.. otimo custo beneficio! vale a pena!!!,Product,,Good,,
"Gostei muito do tênis, o design e cor dele, embora achei um pouco pesado.",Product,,Bad,,
Aroma suave . Excelente para o dia. Discreto.,Product,,Good,,
Produto de ótima qualidade. Já tinha uma e comprei outra igual. ,Product,,Good,,
10 no meu humilde conceito,Product,,Good,,
É lindo e confortável. Exatamente o que eu esperava de um tênis para treino,Product,,Good,,
Eu gostei muito do produto. Tenho dois baixos fender american 4c sendo uma jb e outro pb. Este baixo da squier não perde para eles. Adorei o braço e o som vintage do instrumento. Eu recomendo.,Product,,Good,,
O ar condicionado é excelente. resfria muito bem um quarto ou uma sala de tamanho médio. Silencioso e potente.,Product,,Good,,
"Esse kit é  o meu queridinho. Amo essa linha toda a mascara de hidratação é  maravilhosa também. Não pode mais faltar essa linha da inoar na minha vida. O cabelo fica macio, hidratado e brilhando na hora. Amo!",Product,,Good,,
eu achei o produto bom,Product,,Good,,
eu adore!,Product,,Good,,
Gostei,Product,,Good,,
Muito bonito esse vestido. Gostei da estampa e da malha. Com o cinto então ficou lindo.,Product,,Good,,
"ÓTIMO PRODUTO, CHEGOU EM PERFEITO ESTADO E RÁPIDO ATENDEU AS EXPECTATIVAS",Product,Store,Good,,
"Produto muito bom, meu sofá ficou lindo, com um toque bem suave do tecido.",Product,,Good,,
Bonito e confortavel,Product,,Good,,
Perfeito,Product,,Good,,
"Excelente, fixação perfeita. Fiquei com cílios de boneca. E o melhor, por não ser a prova d'água, o produto sai com facilidade.",Product,,Good,,
Porque é de qualidade e veio com todas as instruções para instalação e está funcionando perfeitamente,Product,,Good,,
"Fragrância muito forte, não gostei do produto.",Product,,Bad,,
Os pratos têm um ótimo tamanho e os desenhos são lindos!,Product,,Good,,
recebi o produto e atendeu a minha necessidade. ,Product,,Good,,
"Excelente, inclusive o atendimento da equipe da empresa.
",Product,Store,Good,,
"Pensei que ficaria mais acinturado, o M me sobra na cintura",Product,,Neutral,,
"Minha filha de 6 anos ficou encantada, pra mim o produto mais do que valeu a pena ser comprado. Fácil de colocar, cola direitinho. Perfeito!!!!",Product,,Good,,
muito bom chegou certinho a nota e 10 e o capacete e muito bom qualidade melhor ainda estão de parabéns,Product,,Good,,
Muito charmosa. Perfeita para os dias mais amenos.,Product,,Good,,
boa qualidade e preço.,Product,,Good,,
Muito útil. Ela amou.,Product,,Good,,
Ótimo,Product,,Good,,
Perfeito!,Product,,Good,,
perfeita,Product,,Good,,
"Não posso opinar sobre a qualidade, pois foi comprado como presente.",Product,,Neutral,,
"Eu ja tinha esse, mas quando vi disponivel no site comprei outro pois adorei!!",Product,,Good,,
"Tecido de boa qualidade, confortável e muito bonita no corpo. Adorei a cor também!!!",Product,,Good,,
Bom,Product,,Good,,
muito boa super recomendo.....,Product,,Good,,
"gostei do produto
",Product,,Good,,
Já expliquei antes.,Product,,Neutral,,
"Estou acostumada a usar bege médio de outras marcas,assustei com a cor do Boticario ...ficou muito escura.Consigo trocar na loja fisica?",Product,Store,Neutral,,
Muito insatisfeita. Se não recebi meu primeiro produto que era o quadro branco magnético de vidro porque me cobraram 40 reais por esse kit caneta e apagador. Isso que eu pedi pra cancelarem o pedido todo. Fiquei muito insatisfeita com o desencontro de informações dos funcionários que nos enviam e-mails. Agora me descontar 40 reais por um apagador e duas canetas será a triste lembrança que terei dessa loja. Não recomendo a ninguém.,Product,Store,Bad,,
É ótimo para o cabelo.,Product,,Good,,
"Muito bom produto perfeito, tamanho g",Product,,Good,,
"Muito bom perfume e um ótimo custo-benefício, recomendo!",Product,,Good,,
"Excelente, ótima qualidade e muito bonita
",Product,,Good,,
sao da mesma qualidade dos originais.,Product,,Good,,
As lâmpadas vieram com defeito! Prazo de 3 duas queimou mesmo sendo instalada por um profissional!,Product,,Bad,,
Top ,Product,,Good,,
Bem confortável de ótima qualidade.,Product,,Good,,
chegou antes do prazo,,Store,Good,,
Muito bom produto.,Product,,Good,,
" Na minha opinião, os móveis da Henn pecam em alguns detalhes como, por exemplo, a cola das lâminas (ficam com resquícios) e alguns desalinhamentos nas mesmas. algumas parecem ser milímetros maiores ou menores. Mas os móveis são bons, pena é a exagerada demora na entrega da Lebes; comprei dia 13 e a entrega foi feita próximo ao dia 20 do outro mês. ",Product,Store,Bad,,Experience
Otima qualidade!! Eficiencia na entrega!! ,Product,Store,Good,,
Muito bom. Gostei da promocao. Façam mais vezes!,Product,,Good,,
Produto bom!!!,Product,,Good,,
amo video games,Product,,Neutral,,
"Muito bom, excelente encaixe e fácil instalação.",Product,,Good,,
Ja o conhecia! Muito bom.,Product,,Good,,
"Gostei bastante dessa base, bem levinha, mas a cor fica ótima e o mais importante, não pesa nas olheiras.",Product,,Good,,
experimentei e curti gostosamente o produto.,Product,,Good,,
"Produto de qualidade, embalagem adequada e prazo de entrega cumprido a risca. Pretendo fazer outras compras, sempre que necessitar",Product,Store,Good,,
"Ótimo material, tamanho perfeito.
Recomendo.",Product,,Good,,
"BOA TARDE NAO POSSO EMITIR OPINIAO, POSTO EFETUEI A COMPREI E DEPOIS DE CONFIRMADA A COMPRA VCS EXTORNARAM INFORMANDO NÃO TER MAIS OS PRODUTOS POR MIM SOLICITADOS.",,Store,Bad,,
"Atende perfeitamente ao que eu preciso, só é barulhento.",Product,,Good,,
"Jogo excelente, compra obrigatória pra que tem o console.",Product,,Good,,
eu achei muito bom. Indico a loja.,Product,Store,Good,,
"O tamanho é bom, só que é muito fina, mas pelo preço, tá ótimo.
",Product,,Good,,
Produto mto bom ,Product,,Good,,
Razoavel. Tecido fino demais,Product,,Neutral,,
Não gostei. Achei que deixaria meu cabelo mais macio e com um aspecto super hidratado como outros produtos de argan que usei.  Mas me enganei. Nem o condicionador amacia. Afff..,Product,,Dangerous,,
bom.,Product,,Good,,
"Gela muito e a ventilação é muito forte. O barulho é semelhante a outros modelos, normal de qualquer ar de janela. Dá 10x0 no modelo que tive da Spring.",Product,,Good,,
gostei muito malha muito boa parabens pela qualidade dos produtos,Product,,Good,,
"Excelente, entregou o que anunciou e com um prazo antecipado.",Product,Store,Good,,
Produto hipoalergênico e sustentável,Product,,Neutral,,
Mais ou menos,Product,,Neutral,,
"O produto, embora caro, parece bom. Atende ao esperado.",Product,,Good,,
"Gostei muito do produto, e parabéns pelo procedimento do e-commerce, fui muito bem informado em todos os passos. ",Product,Store,Good,,
"AMEI!!!! NUNCA ACHEI UM SUTIÃ DESSES!!! VOU COMPRAR VARIOS IGUAIS :)
PARABENS",Product,,Good,,
Uso este produto a alguns anos e adoro.,Product,,Good,,
"PRODUTO DE BOA QUALIDADE,ÓTIMA FUNCIONALIDADE, SIMPLES MAIS MUITO EFICIENTE.ENTREGA RÁPIDA.",Product,Store,Good,,
"O produto chegou dentro dos conformes, não sei se existia o de cor branco, mas se era meio com tonalidade verde, de qualquer forma se não existia ou não tinha valeu a pena. Otimo! ",Product,Store,Good,,
Muito bom.,Product,,Good,,
"Produto muito bom, barulho excelente, muito satisfeito com a compra.",Product,,Good,,
Exatamente como eu esperava! Linda,Product,,Good,,
muito bom,Product,,Good,,
Realmente faz muita diferença usar essa fronha e ela é de ótima qualidade!,Product,,Good,,
"Nem precisa dizer muito, não é? O produto é top. Comprei pela internet e quando fui à loja física comprei 2 potes de 450g para minha tia e minha prima. ",Product,,Good,,
muito bom os produtos altlantica. Eu recomendo.,Product,Store,Good,,
Adorei,Product,,Good,,
fedorento,Product,,Bad,,
"Muito bom, porém curto embaixo e às vezes pode acontecer de aparecer o peito.",Product,,Good,,
Amei,Product,,Good,,
produto de boa qualidade e chegou antes da data prevista da entrega muito bom,Product,Store,Good,,
Bom,Product,,Good,,
"confortável, linda e de ótima qualidade. ",Product,,Good,,
Forma da camisa mt pequena para ser xxl. ,Product,,Bad,,
"Gostei muito,realmente é anti aderente.",Product,,Good,,
ótimo produto e data exata de entrega ,Product,Store,Good,,
poderia ser pintada.,Product,,Neutral,,
"custo benefício, e cai bem!",Product,,Good,,
"Muito bonita a peça, o tecido poderia ser um pouquinho mais grosso...",Product,,Good,,
"Gostei muito do produto,só que menos de um mês o aparelho deu problema e eu levei a autorizada e  tive que escultar que provavelmente o defeito era mal uso e questionei a ele se o aparelho era descartável ele ficou quieto,eu só espero que eu não tenho problema com este aparelho?",Product,,Dangerous,,
"O pano deve ser ótimo para a Lavagem a seco, eu anotei que tem uma certa maciez faz com que Lava Bem e sai sujeira o mais rápido, talvez é um ´pano que pode dar um bom resultado.",Product,,Neutral,,
"APERTADO, TODO CALÇADO QUE COMPREI FOI 42 E DEU NORMAL , MAS O DE VOCES FICOU APERTADO, A TROCA PARA MIM FICOU INVIAVEL PORCAUSA DO FRETE.TERIA QUE COMPRAR UM NUMERO A MAIS.",Product,,Bad,,
"Gostei, pelo preço vale a pena.",Product,,Good,,
boa,Product,,Good,,
Sim. O produto é ótimo e lindo. Adorei. Entrega no prazo e facilidade.,Product,Store,Good,,
Gostei. Protege bem o iPhone.,Product,,Good,,
Cheiroso e deixa o cabelo da minha filha mais fácil de desembaraçar!,Product,,Good,,
"O produto é ótimo, porém veio com defeito. O procedimento de troca foi realizado na loja física do shopping Catuai Maringá, onde tive um péssimo atendimento. O processo até a ligação ao sac foi ótimo o que deixou a desejar foi o atendimento da Havan Maringa Catuai ",Product,Store,Dangerous,,
"Assim o produto vai ser sempre aperfeiçoado para atingir a nota máxima,",Product,,Neutral,,
Aparentemente parece ser bom.,Product,,Good,,
Produto de ótima qualidade,Product,,Good,,
"Excelente protetor, deixa a pele sequinha, não fica com aspecto oleoso!!!",Product,,Good,,
Mangueira veio furada!,Product,,Bad,,
Cumpre o que promete,Product,,Good,,
"A impressão é boa, o tecido também, porém o tamanho M é muito grande.",Product,,Bad,,
Rapidez no atendimento e no envio.,,Store,Good,,
produto chegou antes do agendado. Chegou embalado e com nota fiscal. Original.,,Store,Good,,
Sim. Ótimo!,Product,,Good,,
Pq o jogo é muito bom!!!,Product,,Good,,
"Perfume floral muito bom, todos meus colegas de trabalho amaram. Entrega super rápida.",Product,Store,Good,,
"Muito bom....meu esposo amou.
Espero que fique para comércio sem ser edição .",Product,,Good,,
Cremoso!!,Product,,Neutral,,
A embalagem é ótima para terem em sua mala tanto de viagem como do dia a dia.,Product,,Good,,
"Gostei, superou minhas expectativas, estou plenamente satisfeito, recomendo. ",Product,,Good,,
"Um pouco decepcionada, parecia um pouco mais estruturado nas fotos.",Product,,Bad,,
Esse fogao tem uma chama muito boa. O forno e muito bom. Amei esse fogao!,Product,,Good,,
"Ótimo produto, pra quem precisa de uma emenda, recomendo.",Product,,Good,,
"veio estragado, tive que jogar no lixo",Product,,Bad,,
eu achei otimo connectpart são de mais de bom no atendimento feliz 2016,Product,,Good,,
Produto original que funciona perfeitamente.,Product,,Good,,
"Recebi o biquini no prazo estipulado, o mesmo é maravilhoso e eu recomendo o site a todos. ",Product,Store,Good,,
"Ótimos produtos, acabamento 100%.
Obrigado Connect.",Product,,Good,,
"Já tinha comprado outro filtro e como só encontrei este modelo na Polipartes, agora comprei mais um, porque o depurador Brastemp que tenho é antigo. Desta vez o produto foi entregue dentro do prazo, o que não tinha acontecido na entrega do anterior.",Product,Store,Good,,
poderia ter disponibilidade para diminuir comprimento da corrente,Product,,Neutro,,
Qualidade e desempenho,Product,,Good,,
Macio e de longa duração,Product,,Good,,
"A calça Modeladora Lejeans não aperta na barriga por so ter 3 dedos de reforço encima.
Após ser lavada mesmo a mão ela encheu de bambulim.",Product,,Bad,,
"Muito bom, funciona conforme prometido!",Product,,Good,,
Produto lindo e super confortável. Recomendadíssimo!,Product,,Good,,
Maravilhoso! Amei,Product,,Good,,
"excelente camisa, recomendo a todos",Product,,Good,,
"Gostei da qualidade, design e acabamento. ",Product,,Good,,
excelente produto! atende prontamente!,Product,,Good,,
Perfeito! Muito lindo!,Product,,Good,,
Filtro solar não pode faltar nunca . Inverno e verão este é meu preferido. Vale a pena ter. Este vale pelo custo-benefício.,Product,,Good,,
Ótimo!,Product,,Good,,
"O cheiro é ok, mas a duração é muito pequena pra um edp.",Product,,Bad,,
"Adorei a bolsa! Maravilhosa! Produto de excelente qualidade, com uma entrega muito rápida e um atendimento surpreendente!",Product,Store,Good,,
"Não durou uma semana, já foi para a assistência! ",Product,,Bad,,
Produto chegou dentro do prazo! Porém ja deu defeito! O produto nao liga,Product,Store,Bad,,
Muito boa qualidade ficou perfeito,Product,,Good,,
Melhor jeito de armazenar alimentos,Product,,Good,,
ótimo!!!,Product,,Good,,
Maravilhoso! Simplesmente amei,Product,,Good,,
A peça é linda! Como eu esperava!,Product,,Good,,
"A Capa satisfaz as expectativas, mas eu esperava mais em relação a qualidade, mesmo que seja um produto spigen. Acredito que minha próxima aquisição será a Tough Armor, por ser mais barata e proteger mais.",Product,,Neutral,,
muito bom produto,Product,,Good,,
nao recebi o produto,,Store,Bad,,
excelente atendimento e entrega rapida,Product,Store,Good,,
"amei, lindo de boa qualidade!!",Product,,Good,,
o produto e bom e atendeu as minhas expectativas,Product,,Good,,
"eu gostei muito das panelas, são práticas, fáceis de lavar e boas para a saúde.",Product,,Good,,
Bom,Product,,Good,,
Não fui devidamente informado sobre a característica do salto e da sola deste sapato o que o torna barulhento ao pisar e desconfortável de usar. ,Product,Store,Bad,,
olha amei a sandalia só achei que demorou pra chegar ,Product,Store,Bad,,
Produto de Alta Qualidade ,Product,,Good,,
Material excelente e confortável e ainda por cima com um ótimo preço. Valeu a pena.,Product,,Good,,
"O papel vem embalado individualmente, mas tem sujeira dentro de algumas embalagens. Tive problemas com o empacotamento da empresa, que dobrou as folhas nas laterais... Ainda não sei se vou conseguir utilizar as folhas. No momento, não recomendo.",Product,,Good,,
"atua como ventilador
não refresca o ambiente
esperava outra finalidade do climatizador do",Product,,Bad,,
O botom é bonito e criativo.,Product,,Good,,
Perfeito ficou,Product,,Good,,
"Excelente, promete e cumpre.
A conexão é bem projetada e, até o momento, não apresentou falhas.
O equipamento é muito resistente e acabado, exceto a braçadeira do guidon que é dificil de instalar em qualquer lugar. Tive que rosquear o parafusou ao contrário o que fez com que o encaixe sextavado ficasse invertido e nao funcional.
De qualquer forma, está instalado e funcionando.",Product,,Good,,
Transparente na parte preta. O tecido Preto da loja é extremamente de má qualidade ,Product,,Bad,,
Tenho usado como base e deixa a unha uniforme para aplicação do esmalte. Tem contribuído para unhas mais resistentes.,Product,,Neutral,,
"Produto de bom acabamento, confortável, tudo de bom",Product,,Good,,
"Encaixe bom. Não é original, mas eu uso, guardo, é só. ",Product,,Good,,
Fragrância e fixação boas. Melhor que o Animale tradicional.,Product,,Good,,
"Muito pesada, o vapor fica pingando.",Product,,Bad,,
"Pequena 
fácil de manusear
de guardar
bom preço",Product,,Good,,
Já é o segundo conjunto que eu compro,Product,,Good,,
Gostei do produto.  Só n é melhor pq tem um cheiro muito forte.  Clientes reclamam muito disso. ,Product,,Bad,,
Gostei muito! Muito bom!,Product,,Good,,
"OS TAPETES SÃO DE EXCELENTE QUALIDADE E DA UMA APARÊNCIA BEM LEGAL NO CARRO, EU GOSTEI MUITO E RECOMENDO.",Product,,Good,,
Qualidade excelente.,Product,,Good,,
Otima Colônia para usar a noite e durante o dia. Bem suave. ,Product,,Good,,
"MUITO BOM
",Product,,Good,,
"Gostei do produto, atendeu as espectativas",Product,,Good,,
"O material, bem como, o conforto que ele confere aos pés são excelentes, no entanto, peca nas fotos. As cores do produto nas imagens, apresentadas no site, diferem do produto real.",Product,,Bad,,
"Sou super fazona dessas aguas de banho..
Essa é minha favorita..cheirinho maravilhoso!!",Product,,Good,,
Achei que o produto era maior,Product,,Neutral,,
Ótimo produto ,Product,,Good,,
boa a qualidade mais o acabamento das laterais deixa muito á desejar.,Product,,Neutral,,
ATINGIU MINHA EXPECTATIVA,Product,,Good,,
"Perfume maravilhoso! Não é tão forte, o cheiro é maravilhoso! Época Cosméticos entregou no prazo, tudo bem embalado e ainda ganhei amostrinhas. Parabéns!",Product,Store,Good,,
"Gostei, mas achava que as partículas para esfoliação seriam mais abrasivas.",Product,,Neutral,,
Comprei este pincel para utilizar no tecido e estou gostando bastante,Product,,Good,,
estou avaliando o site!!até hoje não recebi meu produto e ninguem fez nada para resolver!!,,Store,Dangerous,,
"Tradicional, muito bom, sempre que posso, compro esse produto. Valeu.",Product,,Good,,
Eu achei maravilhoso os livros que comprei,Product,,Good,,
"Muito bom... Porém, pouco rendimento",Product,,Bad,,
Ótimo muito vapor e bateria duradoura,Product,,Good,,
Muito lindo lindo lindo lindo,Product,,Good,,
Faz bastante barulho de vento a partir de 70km/h,Product,,Neutral,,
"O maiô já veio com um pedaço da parte da frente descosturado.  Quando coloquei ele abriu em mais 2 lugares. Achei que faltou mais elasticidade na lycra. Pensei até em troca-lo só que daria mais trabalho, então levei para uma costureira ...",Product,,Bad,,
os cães aqui de casa amam e é super saudável.,Product,,Good,,
"Gostei, mas o Tecido é meio transparente...",Product,,Neutral,,
"Bom acabamento,  entrega rápida e preço excelente. ",Product,Store,Good,,
muito importante no nosso momento em que as pessoas tem que ter uma educação mais clara da igreja aqui,Product,,Neutral,,
"Por que na descrição esta super branca, e na realidade fica azulada. ",Product,,Bad,,
"Eu achei o produto bom. Porém, o sistema de regulagem de altura não é muito interessante, pois, gera uma certa dificuldade para aparar.",Product,,Bad,,
muito bom,Product,,Good,,
"Eu achei a sapatilha moderna, bonita e confortável",Product,,Good,,
"Meu filho indicou a loja...fiquei apreensivo mas deu tudo certo.
Ótimo produto...",Product,,Good,,
"Muito bom, plástico de excelente qualidade, exatamente como o anúncio.",Product,,Good,,
"SIM,....ÓTIMO.",Product,,Good,,
"Atendimento excelente, entrega rápida, muito bem montada a coroa, apenas não recebi o boleto para pagametno",Product,Store,Good,,
Boa gualidade preço ótimo.,Product,,Good,,
"Por fora é bacana, mas internamente deixou a desejar. A palmilha é simploria, não deixando o calçado confortável...",Product,,Bad,,
"Faço uso dos produtos da La Prairie há mais de trinta anos e gosto muito,os da linha Caviar são excelentes.",Product,,Good,,
lindo e de extremo bom gosto,Product,,Good,,
TUDO DE BOM E VAI DURAR HORRORES,Product,,Good,,
"Dei de presente, adorou.",Product,,Good,,
Eu achei muito boa a experiência em comprar via internet. As informações no site foram suficientes e a entrega rápida.,Product,Store,Good,,
Ótimo kit completo só instalar e funcionou tudo de acordo.,Product,,Good,,
"Amo amostras!mas esse eu não usei ainda, quando eu experimentar melhor eu compartilho...",Product,,Good,,
ALgumas prateleiras se soltam facilmente,Product,,Good,,
"Me decepcionou bastante, esperava outra composição no colo. Ficou apertado no peito e super folgado nas mangas. Nao gostei :(((",Product,,Dangerous,,
Ótimo atendimento e um produto de boa qualidade,Product,,Good,,
Gostei do produto e é realmente o que eu esperava.,Product,,Good,,
Chegou no prazo e sem nenhum problema,Product,Store,Good,,
Recebi o produto em perfeitas condições e achei lindo... Já havia comprado um outro óculos antes e por isso comprei novamente... Simplesmente maravilhoso!!!,Product,,Good,,
Eu Achei a fragrância muito gostosa.,Product,,Good,,
Ótima qualidade do produto... Entrega rápida.,Product,Store,Good,,
"Perfeito, pele uniforme e sem aquela sensação de que seu rosto esta com muita maquiagem....#amei ",Product,,Good,,
"Gostei bastante. Custo beneficio otimo. Sem uso de gordura. Adorei.
",Product,,Good,,
"Muito bom,  sua fixação não é muito bom,  mas o cheiro é ótimo",Product,,Good,,
"Gostei muito do tecido e detalhes em couro, porém tive que ajustar um pouco pois a modelagem ficou  pouco grande.",Product,,Dangerous,,
Eu achei ótimo. Muito rapido a entrega tbem!,Product,Store,Good,,
Otimo produto,Product,,Good,,
É muito bom porém o preço é elevado,Product,,Good,,
"Não gostei do acabamento comparado ao amplificador que eu possuía anteriormente, mas em relação ao rendimento, é bem melhor. ",Product,,Dangerous,,
Ótimo.Produto com boa recepção.,Product,,Good,,
Apesar do baixo consumo apresenta um bom brilho. Mas infelizmente após alguns dias de uso já notei que alguns pingos de led haviam parado de funcionar.,Product,,Dangerous,,
"Boa a compra
",Product,,Good,,
uso outro shampoo do CKamura... e adoro... acredito que este tambpem seja bom,Product,,Good,,
"Perfeita, muito prática!",Product,,Good,,
"Produto excelente, qualidade acima de tudo.",Product,,Good,,
"OLÁ. TEM ALGO ERRADO. MEU PEDIDO É UMA JAQUETA JAKARTA MASCULINA PRETA GG - E NÃO A JAQUETA DETROIT. 
TEM ALGO ERRADO.
RECEBI A JAQUETA """"JAKARTA"""", E NÃO GOSTEI. 
PREFIRO A DETROIT -
PENA QUE NÃO ACERTEI O TAMANHO.",Product,,Dangerous,,
"Produtos de boa qualidade, e entrega super rápida.",Product,Store,Good,,
